count	reward_sum	squared_reward_sum	length
0	-94.72767236130312	10001.661608756445	111
1	-93.159382075537	10003.518202961313	94
2	-94.8963740443578	10001.693763779143	126
3	-121.35675751371309	10005.245558706762	106
4	-20.581321542194928	1.1038343602416554	2000
5	-92.58959669619799	10004.14103157046	116
6	-92.801869574585	10004.003530910297	105
7	-95.68298847437836	10001.728266478505	93
8	-124.71849818364717	10006.208606181128	120
9	-18.17970051447628	3.3522860166753348	2000
10	-95.08917561522685	10001.686239088393	97
11	-95.14024769607931	10001.476215802872	121
12	-25.854357451113174	3.1943241443992325	2000
13	-119.88931990088895	10005.06754234203	96
14	-93.77281939703971	10002.326327604325	94
15	-93.32690946408547	10003.198298522126	92
16	-20.861702239577426	3.6919858720409304	2000
17	-19.954600955665228	3.5049365725311814	2000
18	-20.29275194235379	1.987959297826771	2000
19	-20.55760901220492	3.7644268053603476	2000
20	-94.59513024194166	10001.594699999967	117
21	-121.48582744365558	10005.409800841597	106
22	-93.01485333475284	10003.996671545367	102
23	-26.352733215433545	2.2491083342206144	2000
24	-92.81323238287587	10003.928244420305	120
25	-16.159547520626802	1.7307158450465299	2000
26	-93.33747893420514	10002.864733350367	88
27	-27.139556759888364	2.7794105049838556	2000
28	-94.54228475689888	10001.401082645623	133
29	-92.6397585743689	10004.309100827835	101
30	-95.57215615455061	10001.797809326155	81
31	-97.78900167229585	10001.233318322313	172
32	-92.95770617062226	10003.768264304426	94
33	-95.43724923534319	10001.692415534071	101
34	-93.53743088059127	10002.939972728265	87
35	-93.60479286592454	10002.611770143254	93
36	-93.41187786625233	10003.184472334691	87
37	-20.203915812453488	0.9709063750381469	2000
38	-20.442048258439172	1.00688213095256	2000
39	-97.27554431563476	10001.461927991853	127
40	-93.0710901459679	10003.345722479657	93
41	-94.57675662497059	10001.51043979782	104
42	-93.32428324152716	10003.208320117817	90
43	-94.302403237205	10003.67557269665	81
44	-94.00975051568821	10003.273168193344	80
45	-92.83262767083943	10003.465343225846	96
46	-94.40900082979351	10002.627793042882	83
47	-92.99454039521515	10003.86938473384	100
48	-92.8534283041954	10003.955405770925	95
49	-95.05347702093422	10001.570292177264	111
50	-96.24481296911836	10001.669225946513	76
51	-93.09179157949984	10003.904284175069	89
52	-93.70949338981882	10003.482700754159	81
53	-93.26667621918023	10003.74842313469	86
54	-92.25431598909199	10004.262003170003	118
55	-94.04034792724997	10002.384786098251	90
56	-93.88396823778749	10003.313377260858	80
57	-93.06459496857133	10003.995437632399	88
58	-95.41334529127926	10001.745712394963	84
59	-93.57278460031375	10003.554728237763	82
60	-94.15090184519067	10001.707405427722	104
61	-95.62141107069328	10001.682281090825	75
62	-92.54624362569302	10004.158521111285	104
63	-92.41578805889003	10004.388535491169	118
64	-93.15565198159311	10002.780139388344	93
65	-92.91854237182997	10003.822802035256	92
66	-93.01538347639143	10003.441521892157	94
67	-93.28307066112757	10004.644428423519	90
68	-92.5469152207952	10003.698302047369	103
69	-93.25097194220871	10003.844846606758	93
70	-94.95096556493081	10001.909356368971	84
71	-119.61780676513445	10004.948702983877	103
72	-92.46310951048508	10004.064682199663	102
73	-93.36351918289438	10002.383993704922	94
74	-94.4599680902902	10001.749738437145	87
75	-93.09432464418933	10003.78705551424	90
76	-93.59208844043314	10003.663514779882	87
77	-92.95283198461402	10004.016219586878	104
78	-124.40096519631334	10005.992085376407	130
79	-93.68717233231291	10004.010167582195	87
80	-93.07254218007438	10003.760498966314	98
81	-93.60631837812252	10003.021296125911	85
82	-93.21711875637993	10003.550456282077	94
83	-93.88063749822322	10001.940653584208	92
84	-93.05957738804864	10003.428645209557	90
85	-93.10709826461971	10003.795331943344	99
86	-92.7257422846742	10003.920884987287	96
87	-92.97294657770544	10003.727702267288	109
88	-93.7868868712103	10003.366858558802	86
89	-94.18702785670757	10002.00188504078	89
90	-93.7974807987921	10001.608763638109	120
91	-94.17678921634797	10002.066304655806	83
92	-92.55090754193952	10004.185453527958	113
93	-92.50363970943727	10004.578903344744	103
94	-94.57103374507278	10002.289197408607	86
95	-93.10991558642127	10003.5598951819	103
96	-118.65776036912575	10005.479752997318	91
97	-93.56442129763309	10001.87653188721	91
98	-92.54371866444126	10004.45902224694	114
99	-92.49470249167643	10004.50180454664	113
100	-94.19665663293563	10001.7808496576	98
101	-95.2186582381837	10001.359949163983	91
102	-93.94562721380498	10002.886069735074	83
103	-93.18061688810121	10003.389140832398	92
104	-93.0713858185336	10004.21567180714	91
105	-92.6932208010694	10004.382470740182	96
106	-92.6311346674338	10003.892144705833	97
107	-93.15761747967917	10003.919659946398	92
108	-93.20447983685881	10003.146179875173	97
109	-93.06927019020077	10003.317420832534	88
110	-93.96588658355176	10002.99517104089	80
111	-93.12706253118813	10004.435402147355	100
112	-92.62779441312887	10004.333893024017	105
113	-16.92464442324126	0.6869571739343717	2000
114	-92.6026040391589	10005.477260101097	202
