count	reward_sum	squared_reward_sum	length
0	-61.22275861547614	6.944416504110219	2000
1	-128.6012479386049	10007.417913650515	176
2	-84.71099616299016	6.8265543566792415	2000
3	-129.06202474934287	10008.228248123254	151
4	-152.9609512229934	10008.66618100525	1120
5	-105.053373948449	10007.468609529398	233
6	-105.59207158988018	10002.12451619861	55
7	-99.41516073136583	10001.726975698115	86
8	-137.95536453802353	10014.021703866456	645
9	-111.768613105577	10003.402949065303	44
10	-106.64909543179942	10001.526069487558	61
11	-112.34928486654327	10004.904534751804	97
12	-126.8008413927077	10007.673284514081	148
13	-100.68237842089182	10004.647726286543	153
14	-99.47060862949847	10005.743756783804	103
15	-102.01703580085385	10000.924441255556	60
16	-101.97394253319062	10005.624149698257	101
17	-102.3434358098794	10001.100932022158	54
18	-102.10380878735354	10000.843244061947	56
19	-96.64851603244462	10002.442719966431	72
20	-94.79832146410911	10003.017464582612	123
21	-105.89649596034545	10001.974723199395	50
22	-104.38897092058545	10001.43654184795	62
23	-104.56663959296017	10001.780633949847	49
24	-97.641249564678	10003.750839449858	108
25	-91.2809731827528	10004.662322645103	108
26	-104.65227478896952	10001.684636349482	57
27	-91.73331933791728	10005.495273496997	103
28	-105.02919129371405	10001.470105333836	62
29	-99.32288735691304	10000.90635284926	65
30	-104.28270915211415	10001.716257437203	61
31	-99.63693384508156	10003.169991439227	96
32	-89.47102209904337	10003.89725366678	117
33	-87.2811743998383	10006.397412619135	139
34	-113.90739987336461	10003.683861995716	75
35	-71.65872842854478	10015.126904105568	502
36	-101.78100993991076	10000.729462439369	56
37	-94.94559299231581	10003.3640447264	82
38	-102.33995272429024	10000.948143039073	97
39	-95.1995423294605	10002.958836172429	103
40	-96.22948001041046	10002.952881723037	85
41	-87.12778814345131	10007.135064952268	167
42	-101.3379983172185	10001.064200982466	54
43	-99.28956275862663	10001.625838858974	64
44	-97.46384593872115	10002.463808861356	61
45	-151.8855026449666	10012.603387640362	1728
46	-96.28448773998288	10002.757838269936	64
47	-100.38945559394836	10001.031979799543	53
48	-101.42427683323234	10000.37376440571	41
49	-98.0990922740697	10002.092588715808	124
50	-95.56833850574247	10003.389006359184	65
51	-99.55820421218209	10001.068359938165	64
52	-95.07441573572598	10003.93217502408	96
53	-95.53966865999416	10003.682364961018	95
54	-89.02512319214479	10005.199811986624	110
55	-98.0822949134422	10002.453887227668	115
56	-93.07180565819174	10003.939649012804	93
57	-95.3768561983816	10003.891620818955	86
58	-93.45132232716172	10003.609237665414	116
59	-70.34292459472654	11.302769546687069	2000
60	-106.1114977205652	10000.956589780842	56
61	-113.02440602064821	10002.210587548005	95
62	-85.41122112965257	10006.607434319105	297
63	-104.75328360314633	10001.117408422308	60
64	-106.80570057783686	10001.172482675782	71
