count	reward_sum	squared_reward_sum	length
0	-28.104345358972047	4.208342521239362	2000
1	-98.86291211069407	10000.567745127366	88
2	-63.54756970903768	4.467305330994687	2000
3	-98.7240051923129	10001.540119128884	66
4	-99.28706675270985	10001.27591120565	59
5	-99.24705481326001	10001.30197182092	71
6	-98.69204757451331	10001.423051428057	71
7	-99.37094250679053	10001.402391975478	77
8	-100.16796461803162	10001.109139318944	69
9	-101.3153038890166	10000.675965464174	57
10	-101.45866913375805	10000.607755007899	56
11	-107.08222975420966	10001.261841304924	51
12	-119.04106304915479	10004.283101843665	102
13	-104.21605064929796	10000.855719382918	45
14	-104.25452785135059	10000.89920260848	44
15	-105.63080518310831	10001.134384692523	44
16	-105.05684677741147	10001.023811329238	45
17	-117.9419852507303	10003.906970744574	102
18	-42.54485797646403	7.968494291127922	2000
19	-52.66616193845611	5.694936329600748	2000
20	-108.50175210686075	10002.65089466907	53
21	-106.51774195359309	10001.876412359206	50
22	-106.01904641986887	10001.268454191673	46
23	-105.94514085259999	10001.180043592176	48
24	-106.49747245331595	10001.65471016138	51
25	-106.04288650793643	10001.299611399189	50
26	-53.92821699762692	4.793323998406799	2000
27	-108.76567865893156	10001.474000521659	80
28	-103.12361341756569	10002.255899956861	118
29	-60.177717081241425	5.881724965229942	2000
30	-65.39698227205334	6.81183007384482	2000
31	-150.75274118699335	10009.108811179129	728
32	-55.66335166087441	3.8463481387335503	2000
33	-52.664845881135484	3.26897154444183	2000
34	-101.59989902236401	10000.85941253894	62
35	-115.35169703573646	10003.068851724924	95
36	-97.66589776860411	10001.423231138679	80
37	-104.2034152267353	10002.01337189028	79
38	-99.65320949239265	10000.906882992265	65
39	-115.1075282058171	10002.582830187019	123
40	-100.99073508157126	10000.275607648919	49
41	-99.20512741663464	10001.92392395035	125
42	-120.48835592528023	10004.376993024667	115
43	-125.60504554748135	10005.832979002962	132
44	-116.49787265346245	10003.828408784118	83
45	-114.28052563284893	10002.709982790042	96
46	-121.70172637929065	10004.30526226907	133
47	-101.12968280621416	10001.236225821845	66
48	-114.56791087033595	10002.585970059767	106
49	-113.83564603361	10003.388509013794	96
50	-104.1382284553955	10002.012760825291	56
51	-121.23032042119645	10004.022826875098	138
52	-103.57594873163615	10001.465793736228	56
