count	reward_sum	squared_reward_sum	length
0	-99.28407635353506	10001.250974329689	69
1	-99.80641081742942	10001.173849749051	73
2	-100.31492991559207	10001.58247818362	65
3	-102.72001812886447	10002.509645048682	54
4	-99.11733428726438	10001.632112054502	72
5	-101.68052618019283	10002.971508905932	55
6	-97.2763732559979	10001.538262347709	73
7	-102.18441231548786	10001.907685646482	57
8	-98.78200052399188	10001.307950408718	68
9	-101.68146942649037	10001.316103807263	60
10	-100.4611705779098	10002.201253764528	62
11	-96.81501034833491	10005.194409921729	71
12	-99.8068840270862	10000.645521032418	57
13	-100.53239760920405	10001.354477181327	52
14	-96.01804262213409	10006.088912550578	95
15	-97.3216193728149	10003.43111930827	66
16	-96.32995074731298	10004.112956528583	98
17	-101.83459193818271	10000.687516963599	44
18	-53.328032235469436	12.811466625283828	2000
19	-52.763539470819524	12.682652191972894	2000
20	-59.75462348302244	15.928984928454472	2000
21	-64.22888259618776	8.68939732628936	2000
22	-100.23347152583301	10001.019308009372	47
23	-129.74336845520884	10015.459979889374	90
24	-158.11746138194576	10011.818192158016	1610
25	-70.85599881783128	12.78069222743247	2000
26	-100.9790019695647	10001.136945891132	66
27	-103.93186410050839	10003.015428726698	70
28	-106.10283805883955	10006.47635474322	255
29	-115.60061452171067	10006.272054682295	66
30	-117.97722746850923	10004.88769734426	782
31	-113.71128117851913	12.588407240147202	2000
32	-115.0702508459799	10004.056311053659	75
33	-117.68008230254054	10006.639172968242	59
34	-122.43704457581043	10010.726224989976	51
35	-102.5143389259465	10001.247508047649	77
36	-107.41853015683591	10001.648060698526	87
37	-100.90100430790335	10006.25087816632	65
38	-98.456908789929	10005.454707356836	75
39	-97.5221866928041	10005.748029697163	93
40	-101.77037352882326	10005.777228093104	186
41	-110.97052279766649	10012.591574562533	81
42	-107.30085698328912	10005.0678959227	59
43	-122.89003062620759	10009.350048334694	95
44	-125.1237508635968	10011.492904382201	96
45	-120.80037458986044	10009.475823944229	64
46	-108.16678458021488	10002.264171743047	116
47	-106.36189273372293	10004.681853206857	59
48	-109.75806777831167	10007.824732328632	170
49	-114.99362600548193	10013.100848748536	480
50	-73.49472946533933	4.538765206404026	2000
51	-73.07314586266875	5.166471304135143	2000
52	-66.78363466449082	4.118151735854002	2000
53	-122.07488776184618	10007.366432623417	113
54	-80.90885572880507	4.972358562445989	2000
55	-75.53898876579478	4.7197217504720355	2000
56	-115.39292969368398	10007.073210956854	57
57	-108.4567743325606	10013.549714871478	200
58	-102.88628044817597	10009.578353628902	96
59	-107.38006829749793	10002.270872770012	83
60	-123.14621554827318	10007.197742974347	97
61	-71.10882993787527	10.15596050965401	2000
62	-110.00283239688724	10002.949216174224	81
63	-106.31272124312818	10003.28081998893	49
64	-127.37984351068735	10008.68343237161	109
65	-128.2692115828395	10012.075849391123	96
66	-134.57727668434381	10012.004060467254	149
67	-113.90009120013565	10006.824253257539	62
68	-111.28727609105408	10003.58199729932	85
69	-106.14519994007424	10005.126627423928	58
70	-130.75241225212812	10009.880595512168	138
71	-111.65660557651427	10011.466787118232	91
72	-122.93813658272848	10007.729793981161	124
73	-126.51537575374823	10010.578745237286	124
74	-130.83181567583233	10018.730418153755	153
75	-101.44626324891578	10001.613792864677	89
76	-104.67987743020058	10002.796171100963	54
77	-103.20203880406916	10005.264883605118	60
78	-109.56477945577353	10003.870107323384	97
79	-109.81426606979221	10007.15854108845	77
80	-106.5270991884172	10002.591308402947	58
81	-107.38819383224472	10003.886850348837	41
82	-106.44946251437068	10008.592085919588	91
83	-127.78353812731802	10008.55464484772	135
84	-111.93557742796838	10007.322753618786	74
85	-113.53991194348782	10006.791995313026	84
86	-115.61424440168776	10007.777482923351	68
87	-102.92865199130028	10002.61691242706	50
88	-112.38279587542638	10012.59235725271	100
89	-111.3992094900459	10011.647519214506	80
90	-101.06802085321397	10002.966603794981	86
91	-108.09057789575309	10006.913575579072	81
92	-112.757384265773	10006.873231244055	101
93	-84.87370859785005	7.4717083734948195	2000
94	-120.22589225042611	10008.59260079363	66
95	-102.6692545125261	10003.269114853698	62
96	-101.31098015513271	7.261109325104895	2000
97	-102.24239658005536	8.81448689704518	2000
98	-103.79243223462254	10004.254328016257	71
99	-103.18148464313708	9.607885470789894	2000
100	-113.42465893318877	7.733651579099298	2000
101	-119.60240391362458	10008.271112403683	70
102	-116.62349721696228	10008.923761653661	81
103	-119.91475826874375	9.04593797663244	2000
104	-120.42558915959671	8.926381731728664	2000
105	-102.34395183762535	10001.848247420045	76
106	-103.9739509196952	10002.30242932909	40
107	-102.47405457613058	10001.962792660155	81
108	-103.50090706720948	10001.864107424472	39
109	-162.17206477443688	13.866357328208199	2000
110	-103.2295073242858	10001.621889207143	39
111	-127.5084859682247	9.286820313635914	2000
112	-122.54071932146326	10.577955339755798	2000
113	-105.3289392227307	10002.69535589946	42
114	-124.93313227687031	8.660774237739624	2000
115	-104.60782422870398	10002.637054635068	61
116	-101.70459439000115	10005.61844549461	72
117	-115.79720119386911	10007.97777232245	70
118	-125.14024589024484	8.788275840934574	2000
