count	reward_sum	squared_reward_sum	length
0	-99.38980101048946	10000.969600477842	57
1	-99.40819233935326	10001.253785295738	76
2	-100.61210985761136	10002.206987782785	74
3	-99.753268876113	10001.672988420118	64
4	-100.17813629750162	10001.186500195203	61
5	-98.19832800421864	10001.75834353413	72
6	-103.56208284641616	10002.609115153888	151
7	-100.03498292993754	10001.880053924448	65
8	-98.4478681050241	10001.756195124024	63
9	-98.64838482858613	10002.191298951782	103
10	-98.82821167260408	10001.954957938917	73
11	-101.49211953021586	10002.455796011256	64
12	-127.68800181814004	10007.334733540703	159
13	-121.10183150868397	10005.399892275424	137
14	-101.04882693718537	10001.812285326936	147
15	-100.63320245034993	10002.753295195795	175
16	-100.34819459728897	10001.737989653535	72
17	-99.58110219333321	10001.728523225227	83
18	-117.83404716104269	10005.825374252661	59
19	-97.65192495658994	10005.990247521026	72
20	-97.5292562507093	10006.64596820727	68
21	-113.60986616462469	10004.801333218511	46
22	-131.96182059682906	10007.995137013198	152
23	-126.92762008309364	10009.47277134769	89
24	-101.5327107803896	6.597393908016648	2000
25	-124.0053193308413	10008.078649436455	85
26	-102.84269524924457	10004.36197687941	50
27	-100.67484845221043	10001.280863018399	48
28	-102.15172171872109	10001.88977594165	49
29	-101.89816698106006	10003.249679582657	55
30	-116.81078169262037	10004.845906100332	72
31	-123.08591348305345	10007.07100290948	105
32	-91.70150660193758	6.0295902447262995	2000
33	-92.74475341039943	8.021777316242527	2000
34	-99.61627557128668	10006.96917906615	88
35	-123.50493310485035	10006.715810801574	105
36	-96.864530836232	10006.089690440938	122
37	-113.47544609755278	10004.980640651413	47
38	-117.31707555800676	10005.285513173874	66
39	-109.27445886167698	10008.237042190189	73
40	-98.89951753988862	10006.5974733943	70
41	-87.31260971399024	10006.263126805861	153
42	-102.75460920343176	10002.08140552026	50
43	-109.6544601758942	10005.64285483656	66
44	-92.23302489891648	10004.004734941147	146
45	-109.99201085814275	9.298883218809364	2000
46	-99.65598350949585	10001.141896185089	64
47	-117.57080662157387	10.706683535496703	2000
48	-98.5624331496656	10001.297483954582	78
49	-105.72818773123436	8.091295436988943	2000
50	-102.34011095575988	10001.990210847383	87
51	-103.16553811496124	10001.785617517055	90
52	-93.93161408230662	10002.33016426438	89
53	-111.02303364733234	10005.445641147684	91
54	-101.86972888279706	10001.425318441183	83
55	-110.40930469380692	10004.9188465668	92
56	-101.33557215891778	10001.301391428104	62
57	-102.0218117479235	10001.614577822833	59
58	-111.85843729879707	10007.20410018837	92
59	-123.94595250906423	8.744980823197727	2000
60	-101.53655566554517	10001.2350567545	54
61	-130.37369277887046	9.760772922501536	2000
62	-111.26319435238838	10004.02248900261	67
63	-122.22136301919818	9.543570987760507	2000
64	-127.11370245972648	9.199805030112113	2000
65	-108.27345517801587	10003.139710711908	109
66	-102.24644896760583	10000.734142834128	56
67	-101.979482550174	10002.185029923396	51
68	-121.53522165375762	11.088553061795514	2000
69	-116.39383252430707	10.664725652243058	2000
70	-121.45223157480359	10009.70937780205	71
71	-101.54827758576721	10007.06017978734	63
72	-114.59297455754131	10007.509609975921	65
73	-127.09821763308719	11.874623094552081	2000
74	-113.193593849428	9.198230498665389	2000
75	-111.49972975102719	10006.10623165558	291
76	-114.69974291976541	10.341067309982515	2000
77	-120.66332717426121	11.92061420161401	2000
78	-125.0135540147312	9.044636345986879	2000
79	-105.44678848271724	14.795900867348593	2000
80	-95.20468915067613	13.292452330814227	2000
81	-114.490998536814	13.181870865196265	2000
82	-115.26426825660747	9.241763402099755	2000
83	-125.781176823657	11.63033629118532	2000
84	-125.83270813524723	8.95605176833488	2000
85	-119.52201873576269	9.39215863794416	2000
86	-126.4704843503423	8.801358762066696	2000
87	-78.33914438378997	10.477386240643256	2000
88	-83.98303872765973	8.9014262898874	2000
89	-85.73291070456617	14.642539669011775	2000
90	-69.74731779820286	15.602186936749384	2000
91	-106.00977826258168	10008.029348509837	93
92	-99.3043115530163	10003.237005609168	58
93	-100.05428056232631	10001.410635320077	69
94	-102.20457770675421	10005.470054897307	73
95	-119.52127076801844	10006.782910578806	115
96	-93.94014188356232	15.959041021234576	2000
97	-100.85104202106595	10004.664864673561	68
98	-108.58077906584367	10008.613029990296	166
99	-117.9611573574366	10005.010028014043	99
100	-103.80576176708564	10005.384465966794	164
101	-103.74563243798912	10005.486768748593	54
102	-124.98542015813291	10008.767297064373	90
103	-99.75646264175884	12.078824227175737	2000
104	-121.98742507165298	9.837665070938789	2000
105	-113.05467109149322	10005.676274429341	214
106	-107.63678942481056	10003.454980731514	210
107	-116.18977970816195	10007.371168037756	216
108	-107.4187134988606	10003.39536353297	212
