count	reward_sum	squared_reward_sum	length
0	-102.74628227902576	10000.865088080875	69
1	-109.86165025271475	10003.296501014793	51
2	-116.64244755543768	10005.401177813561	86
3	-101.97193181375042	10000.878602103357	76
4	-108.38294390402734	10002.8977981299	50
5	-103.17427006154321	10000.813569350817	53
6	-107.92571517731994	10003.223377620456	42
7	-113.76765264873393	10004.739773098521	123
8	-111.05726081528701	10002.918990283168	86
9	-111.25889820232987	10003.994194255509	57
10	-107.88748214114457	10003.1085263153	50
11	-116.18612514063716	10004.006623523523	199
12	-112.0991275110282	10003.582643958896	78
13	-110.67566097527742	10002.92869567214	74
14	-106.88919289782643	10002.636920993102	43
15	-95.55497847532388	10002.988215529798	85
16	-44.59538504073862	4.760236435193853	2000
17	-98.35161823406816	10001.535938552506	78
18	-113.96766403550282	10004.190873115751	99
19	-110.61733576375991	10003.67375144679	61
20	-36.352798846084625	6.041982489150294	2000
21	-107.89088053582236	10003.463752778825	46
22	-111.78371838014573	10003.003022164501	75
23	-98.48927473463118	10001.948712751926	72
24	-105.0380832972005	10002.75076981847	61
25	-115.7563749216497	10004.70715012932	105
26	-112.31604974064976	10003.239904229351	85
27	-113.9221203335328	10004.550354626663	88
28	-107.68333829613402	10003.160956720561	42
29	-98.27350513031706	10001.655271543486	79
30	-115.87231876701117	10003.94563896196	140
31	-113.54852231382392	10003.637055842066	111
32	-107.27548250928521	10002.765797423806	42
33	-38.86622331500985	9.074334539480365	2000
34	-102.56103810016066	10003.46244902186	68
35	-102.90006184857339	10000.94742035108	55
36	-101.18015527143143	10000.95722204498	69
37	-107.34568975307047	10003.25320328658	53
38	-97.64533822704107	10001.714973584047	110
39	-95.9305684331921	10002.396797979973	92
40	-108.40187832154334	10004.029585867624	44
41	-111.50783893559128	10003.39995307155	63
42	-112.88669292535633	10003.605317330048	79
43	-103.41967213014141	10002.84971071511	68
44	-109.87413295276929	10001.949312936411	78
45	-104.940424233675	10002.658662195685	67
46	-111.11949187563732	10002.86805880445	90
47	-107.50004169158638	10003.156065823585	41
48	-111.20238163718022	10003.123498963392	67
49	-110.09671002626419	10004.65880744284	47
50	-104.28259917069227	10002.643935360356	58
51	-119.793898741249	10005.323668364363	152
52	-106.564199851593	10002.501590385416	52
53	-97.23470082622953	10001.8684816902	77
54	-123.08692635549232	10007.285344417283	116
55	-95.1296835168032	10002.86601750047	84
56	-113.04286055220291	10003.282967958166	92
57	-113.5529904589057	10004.44822984233	118
58	-109.69416220625862	10001.880906696966	83
59	-110.59370564017445	10002.91954201825	66
60	-111.50581672461703	10003.27214348327	65
61	-37.74926254549064	6.920646756915781	2000
62	-95.297546292888	10003.033326473274	107
63	-112.32912022084929	10004.156746776676	72
64	-95.12283142679371	10003.478748767746	93
65	-100.55836919229478	10001.074825413622	68
66	-111.00639881310053	10002.666377920163	74
67	-107.33724809763953	10002.190938068847	52
68	-112.41943981684744	10004.124714426343	68
69	-111.97857438912615	10003.28459541604	75
70	-57.36293948080856	2.1380295331055144	2000
71	-110.28146583028138	10002.719271226508	72
72	-111.34676679549739	10002.977105804588	65
73	-106.47296158177778	10002.483248027704	42
74	-107.54506268072873	10003.108626777908	42
75	-108.0005294168368	10003.420806400056	45
76	-95.79527470376343	10001.92022636289	100
77	-105.8886356074363	10002.116338622358	50
78	-113.9724687502021	10003.82458533271	98
79	-111.38106407225132	10004.315791489054	56
80	-107.66171891987324	10003.093038118799	47
81	-111.5382342034718	10003.15724395175	64
82	-104.31449525430799	10000.90365153463	53
83	-112.85508728807326	10003.815741228915	74
84	-100.52765691478271	10000.99407700872	88
85	-104.22395221225452	10000.816139333063	60
86	-111.53756602155045	10003.374588195087	66
87	-108.16574897128157	10002.70100899811	173
88	-111.91221287538065	10003.365252733	74
89	-96.00311654759571	10003.984319286466	100
90	-111.23574922326952	10003.396090022263	57
91	-107.5655992628308	10003.291005195682	42
92	-122.76467860862613	10004.426516214831	303
93	-119.79986830777489	10006.796651987894	159
94	-126.18063442432322	10007.214744188348	259
95	-121.83689899748424	10006.626762623366	160
96	-108.76340062823147	10001.889626490645	79
97	-118.91461740247905	10005.021234906266	129
98	-117.08472157642245	10004.339307860124	119
99	-107.96723386622034	10003.267929234788	42
100	-111.09732117690146	10002.983130064955	71
101	-114.08813505992293	10003.8395881887	111
102	-107.86524070054293	10003.260271500398	38
103	-110.73226027470082	10004.219716959653	52
104	-97.1412657861365	10002.26251512697	94
105	-112.69609088636935	10004.000436007815	81
106	-118.46712351310998	10004.942015041936	116
107	-105.99457461759448	10003.562104279135	63
108	-112.24632811173797	10003.269832077403	73
109	-106.23799272091128	10002.766558485797	60
110	-114.01734560495242	10004.090602783343	83
111	-95.12523223069729	10002.820399148672	100
112	-96.6354127926752	10002.907817439223	102
113	-103.30755602184217	10000.658382055062	67
114	-72.39917180023622	3.157141066183068	2000
115	-114.92520979279652	10003.615496634384	183
116	-96.59421907784417	10002.564379083053	138
117	-111.38291491288692	10002.704702095436	77
118	-110.84963140171021	10003.299681301763	56
119	-98.72213172493502	10001.403783970938	99
120	-102.84084650164004	10000.666739845745	63
121	-111.52588770212606	10004.16452958776	57
122	-96.00732817256358	10003.116377897877	83
123	-36.53145040414529	6.052245451858235	2000
124	-101.69753648294136	10000.760888745128	68
125	-108.18248571176082	10003.497478732097	41
126	-38.88169554504566	7.095181837972097	2000
127	-112.91582624567673	10003.372255497956	92
128	-111.28226929157972	10004.149607703877	56
129	-101.95205081661697	10000.627710666975	82
130	-111.4301507382188	10004.103224304421	108
131	-107.06835772842169	10002.873821891111	56
132	-100.25639239908196	10001.23035335195	69
133	-108.07205041474663	10000.932566409514	164
134	-116.84171914309263	10005.205131681927	100
135	-110.55287007894367	10002.091536900809	83
136	-96.15446753520519	10002.315505345248	139
137	-105.14819662459195	10003.018663683468	62
138	-110.5049708802253	10002.649144726518	89
139	-99.5462590479292	10001.323921234878	73
140	-96.03924708859995	10003.292568697161	96
141	-111.0348643725738	10003.664040989308	60
142	-112.48421372519806	10003.29965397244	176
143	-39.252062337007374	5.738034359332449	2000
144	-114.83578077377751	10004.14083004833	121
145	-110.87480356357992	10003.098554188447	62
146	-110.8378020580858	10002.373631420787	108
147	-108.56587966997176	10003.183399280342	55
148	-115.08428258495405	10003.922045178917	131
149	-59.499860225769226	2.2769169205602693	2000
150	-33.874460303690284	7.638861104276697	2000
151	-111.11089271237142	10003.710381337129	52
152	-95.8648449331522	10003.243006775232	110
153	-102.9167757825926	10000.794146784683	74
154	-112.85816981596872	10003.913741945842	84
155	-96.55906163156033	10002.302037482597	85
156	-113.90966983791441	10003.784491227485	108
157	-113.71466780081391	10003.783158990786	104
158	-111.29590702813584	10003.155559066463	77
159	-109.140260707587	10003.05663933755	48
160	-96.06786047993228	10002.071553236434	136
161	-107.303393995855	10002.845654603912	54
162	-50.437604470411316	7.452327161434612	2000
163	-94.77351696847472	10002.523563214438	98
164	-110.23420566576533	10002.231469435701	78
