count	reward_sum	squared_reward_sum	length
0	-97.33636084198952	10003.606636527902	85
1	-103.03453031508252	10001.628886871711	47
2	-99.93693799013272	10003.038398996092	84
3	-119.10099721327424	10005.799527914147	84
4	-101.40259876847267	10003.360317153265	90
5	-91.71582007873803	5.043942890782375	2000
6	-108.1859996393323	6.948467582754191	2000
7	-107.6863501039843	10002.553035118966	314
8	-124.59200489678187	10.071307609279465	2000
9	-113.91896002762951	9.137280996894557	2000
10	-120.71276021219091	8.045166770683265	2000
11	-128.4395876498893	9.127844230802957	2000
12	-124.18844282499049	9.513804916348889	2000
13	-130.77005334105343	9.898023797058002	2000
14	-92.32955353427678	6.243395480140139	2000
15	-109.95451192487963	6.644570502837754	2000
16	-133.17099167779088	9.228618033420759	2000
17	-134.58438520878553	9.576785775767519	2000
18	-131.14830344961956	10.123925528165897	2000
19	-97.63746493635699	6.792537812919031	2000
20	-134.71521719917655	9.434581757328885	2000
21	-134.3786892555654	9.396736854027456	2000
22	-129.94451889395714	10.603772343370096	2000
23	-134.07733388408087	9.225906118364843	2000
24	-130.87784500652924	11.09322792318158	2000
25	-126.44393982551992	11.683069911787479	2000
26	-132.1365958028473	9.57046562069209	2000
27	-131.62567503005266	9.943379993684246	2000
28	-133.85349586978555	9.877078646095415	2000
29	-134.4913366176188	9.794690581340125	2000
30	-133.31404146552086	9.486120895746065	2000
31	-135.66630917042494	9.506632603037527	2000
32	-135.647280132398	9.570674418551128	2000
33	-105.84771104995161	10000.991575236612	56
34	-105.1622463753447	10000.849738097328	63
35	-104.98209485039115	10000.742262270134	62
36	-134.78106196783483	9.459475523638215	2000
37	-104.88312137965113	10000.643380790905	70
38	-134.7355407467112	9.43073664663946	2000
39	-105.25940026715398	10000.668901733086	81
40	-134.51946016959846	9.482305311379955	2000
41	-109.27029389888048	10002.407930597661	42
42	-105.413095776923	10000.802719605794	67
43	-108.12772887013853	10001.753439805214	52
44	-105.44457689765841	10000.77765950701	67
45	-105.24646218586713	10000.825412989609	62
46	-108.3425880111754	10000.786595342144	141
47	-106.82656912691891	10001.35900047661	49
48	-136.20606538839638	9.799536371888832	2000
49	-107.27474354766309	10000.684848400813	129
50	-105.53575828205794	10000.67985424937	95
51	-107.31696299277246	10001.480614930279	50
52	-133.6321078632027	9.299942611578453	2000
53	-105.27543217362836	10000.86242125074	64
54	-105.17741005448624	10000.66775527307	76
55	-105.8055748064071	10001.037359249933	57
56	-136.0895319096744	9.742323880056752	2000
57	-106.0543516324833	10001.054353925321	56
58	-107.92785528674722	10001.844795785126	43
59	-134.60935227759182	9.46407067589477	2000
60	-106.12967044953257	10001.10391082404	56
61	-105.42645609844476	10000.63045081133	81
62	-105.89390974771231	10001.133030209534	57
63	-106.46456890180707	10001.280388227637	52
64	-108.70063673332334	10002.033985984504	45
65	-136.958281817846	9.800406807098417	2000
66	-105.21564444713295	10000.765239760984	68
67	-107.54751413315535	10001.507261128412	50
68	-105.0786115648225	10000.637377727355	81
69	-107.59697126317769	10000.670428365373	135
70	-105.34570149425417	10000.695841737295	69
71	-106.75007897615433	10001.373381069681	50
72	-106.30087443627417	10001.162016944076	52
73	-135.58718613814563	9.558974492856581	2000
74	-106.55480558611453	10001.183191016049	53
75	-135.2555072689429	9.586000880345587	2000
76	-106.11442553903908	10000.603796623134	105
77	-108.82274591550231	10002.242460553549	41
78	-135.86149806715548	9.641980783550412	2000
79	-108.46521139144897	10002.007969307268	42
80	-108.19732005149126	10001.634245395944	53
81	-133.73258974403143	9.287972255394399	2000
82	-136.3240192644298	9.748782510108965	2000
83	-105.50366678461432	10000.845930417476	59
84	-105.08976416941732	10000.778062312605	70
85	-106.1062379591167	10001.01718481958	52
86	-105.35092606861144	10000.781279593757	64
87	-108.39938240777701	10002.015590197943	44
88	-109.58782434463501	10002.427518181526	43
89	-104.77551740559284	10000.668390229901	70
90	-105.18224545847625	10000.5839966517	100
91	-105.79874082654715	10000.935345877542	56
92	-106.9860108634457	10001.404720493198	48
93	-105.666245540604	10000.86293013735	58
94	-107.21955683920532	10001.379386757959	58
95	-104.85313259647228	10000.596381543859	77
96	-105.96484015509486	10001.035407858368	54
97	-132.82243268052116	9.182058389011335	2000
98	-134.74919290468097	9.495956820906574	2000
99	-107.0169303715229	10001.316846130345	49
100	-132.73110592085868	9.526141697459755	2000
101	-131.60372383147478	9.3237804563925	2000
102	-133.45552542060614	9.791653133342793	2000
103	-104.97951126191765	10003.719794161465	119
104	-133.01372240763158	9.50736842507056	2000
105	-133.38516879454255	9.466447155917557	2000
106	-135.45239494275302	9.879354443044003	2000
107	-133.7673803754151	9.514334220631387	2000
108	-132.22762397304177	9.84060457661845	2000
109	-133.75510470662266	9.563624032900803	2000
110	-133.5018933499232	9.505855632048187	2000
111	-133.92006344348192	9.315545386937176	2000
112	-125.99943896569312	10006.68771202342	140
113	-102.02484795078635	10001.624124093096	98
114	-132.9777695108205	9.417845307097105	2000
115	-133.41688556224108	9.481082999104727	2000
116	-135.18704796768725	9.680898103852732	2000
117	-129.3965066280216	9.5605904545195	2000
118	-133.3153253570199	9.48591897077311	2000
119	-99.76395615190268	10001.936956760512	85
120	-133.24235273431987	9.634940329057535	2000
121	-131.7799372742884	9.362889850284244	2000
122	-133.3811662197113	9.448237696840058	2000
123	-133.75965033005923	9.187023580790969	2000
124	-132.9570375615731	9.282951387348344	2000
125	-134.51789357326925	9.29862528941014	2000
126	-130.35881672147661	9.277193504355312	2000
127	-134.9238559966907	9.575668143840343	2000
128	-133.03316909261048	9.26999486381085	2000
129	-103.0173083357513	10000.51375059293	75
130	-101.55134147405624	10000.335399765074	81
131	-118.87837152555585	10006.472359257867	87
132	-101.56208023196086	10000.294671028201	67
133	-104.05129861738533	10000.567890836764	59
134	-103.46038841689005	10000.26175479159	127
135	-104.3846092526801	10000.365299892715	136
136	-103.33518835436553	10000.458142857406	131
137	-106.88673083577305	10000.679077028612	182
138	-102.91974137863144	10000.251305273452	87
139	-131.97990383487195	9.121014660018801	2000
140	-103.31932204309851	10000.86068438845	64
141	-101.07017974276096	10000.268294966547	75
142	-134.15056633390486	9.330553241437443	2000
143	-105.09410433471203	10000.975683409955	52
144	-103.9160821242258	10000.952925795882	60
145	-103.86767139472067	10000.826239643511	57
146	-102.85174119658768	10000.948623276607	96
147	-103.77429236564785	10000.5654776627	88
148	-105.35246258298866	10000.689802923214	113
149	-105.53496794961393	10000.62771813639	142
150	-102.26489228196442	10000.384501861296	65
151	-102.10002347175032	10000.413656548619	88
152	-106.02639046497643	10001.181316807464	70
153	-103.44475357513875	10000.577716293054	68
154	-102.78460570378229	10000.35776116838	67
155	-103.15808732993901	10000.72396295736	83
156	-102.7083514938131	10000.53442981168	81
157	-105.07155438186601	10000.691421844058	117
158	-104.79763340111822	10000.883555504071	53
159	-108.74531586095691	10001.00331803611	166
160	-131.20429543219507	9.280458806544415	2000
161	-107.70638496382162	10000.85566742022	137
162	-133.1181977391243	9.214064964336773	2000
163	-111.4048250601627	10001.166609848851	225
164	-131.80124826543033	9.363299327360595	2000
165	-132.57309159636497	9.081763577391264	2000
166	-133.6200179401785	9.325758989200734	2000
167	-130.97413590643555	9.179921536995199	2000
168	-134.88324514683336	9.639669820260321	2000
169	-133.7276734728366	9.476780094914801	2000
170	-133.92793843802065	9.300645276193144	2000
171	-121.47940003406256	10009.20814104935	105
172	-128.88510610256344	8.95499526218541	2000
173	-131.6485594548285	9.220362445402047	2000
174	-106.14574733329937	10000.973563635174	120
175	-133.69833821384236	9.368260837864344	2000
176	-133.15321131050587	9.453963475794572	2000
177	-134.18192262155935	9.666193456888722	2000
178	-125.14785515982658	8.413634409995176	2000
179	-131.9245235156268	10.215008835879893	2000
180	-133.61464983876795	9.658567917150222	2000
181	-133.5024095196277	9.477184123804921	2000
182	-134.7880254490301	9.7768773728336	2000
183	-134.77352168783545	9.266667803679573	2000
184	-135.18429769575596	9.881562619094474	2000
185	-133.5509962895885	9.395941019967882	2000
186	-133.87552438955754	9.447952051743695	2000
187	-134.7119149118662	9.338533573372644	2000
188	-134.79896282032132	9.407450521637868	2000
189	-134.67235138919204	9.726306161274772	2000
190	-135.0510544506833	9.375326061461092	2000
191	-132.98553978465497	10.292746292738626	2000
192	-135.18021359760314	9.391627520160782	2000
193	-134.79230178147554	9.375720382565936	2000
194	-132.0665033571422	10.353391826889386	2000
195	-133.45304264780134	9.13926719619165	2000
196	-134.8533989530988	9.317234109670043	2000
197	-133.6976566836238	9.712188968848114	2000
198	-135.00971395568922	9.823192895263613	2000
199	-132.8505043797195	9.331452385483008	2000
200	-135.70121889701113	9.779605332303227	2000
201	-135.20326907746494	9.740994213505534	2000
202	-134.8562953779474	9.488903947072533	2000
203	-135.67083990573883	9.452602950578854	2000
204	-135.8965479452163	9.853749254810564	2000
205	-134.12301504984498	9.316709943266563	2000
206	-134.37427544221282	9.573771513992925	2000
207	-135.06918055005372	9.735939318460813	2000
208	-133.79945551697165	9.294058403166105	2000
209	-134.6104316324927	9.383541240760671	2000
210	-133.83399020973593	9.242502488386318	2000
211	-104.82609638664871	10000.684504064151	134
212	-134.93472579866648	9.703721500741459	2000
213	-133.72592015750706	9.481317300295892	2000
214	-134.35022311657667	9.37499113589891	2000
215	-135.37779458332807	9.755894642235074	2000
216	-135.34012840874493	9.762789885460798	2000
217	-134.40947476308793	9.65968562761784	2000
218	-135.4687975505367	9.740545828406379	2000
219	-134.37581201829016	9.264275770366261	2000
220	-134.12622271617875	9.507401730860117	2000
221	-104.24125045817345	10000.517356711287	119
222	-133.72127033304423	9.234618284916492	2000
223	-133.86841168999672	9.374836964500567	2000
224	-131.80268574226648	10.046299864496957	2000
225	-134.3624939210713	9.34599776864063	2000
226	-133.18239666614681	9.413731361613696	2000
227	-134.73455929011106	9.715089243391034	2000
228	-135.9351663235575	9.528894196417351	2000
229	-134.15188932884485	9.297063426961422	2000
230	-134.45323886349797	10.632004158779326	2000
231	-133.8202315531671	9.253341730135398	2000
232	-134.69218129478395	9.601290172377423	2000
233	-135.11749177332968	9.350411757344736	2000
234	-132.4461043011397	9.284513537583333	2000
235	-127.98329834919423	9.86268767104341	2000
236	-131.67161212675273	8.910091826748843	2000
237	-128.31738237384707	9.417282843186022	2000
238	-123.12042068503797	8.970486040491245	2000
239	-102.29870714526623	10000.907582259888	107
240	-116.33862207084894	10006.23893469966	60
241	-107.080817327369	10002.174254627122	77
242	-112.74470981955528	10004.047230846969	43
243	-109.09830746240914	10002.445887127638	64
244	-108.95538113545626	10002.683095470988	82
245	-118.82633429020643	10007.629445070264	55
246	-108.12666388647631	10002.509344881308	64
247	-110.39809895073995	10003.098767888448	66
248	-116.30160014331341	10006.055388214807	47
249	-123.40624051867053	8.262556738157503	2000
250	-108.92203076928854	10002.284553499565	39
251	-122.9959348286502	8.16971338231087	2000
252	-123.459032418672	8.267019838755601	2000
253	-104.10063441842794	10001.733712465451	106
254	-117.61339102685452	10006.259163535298	54
255	-111.69690889492631	10003.863647988162	90
256	-178.85929027106613	10010.60359711848	1144
